param_foc1,param_val1,param_foc2,param_val2,first_virus,time,variable,value,nutrient,variable2,abund_type
q_nc,0.0011,z_nc,1e-12,RPV,100,VbH_low,0,low,PAV_pop,pop
q_nc,0.0011,z_nc,1e-12,RPV,100,VbH_n,0,+N,PAV_pop,pop
q_nc,0.0011,z_nc,1e-12,RPV,100,VbH_p,0,+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-12,RPV,100,VbH_np,0,+N+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-12,RPV,100,VcH_low,7.248611196343215,low,RPV_pop,pop
q_nc,0.0011,z_nc,1e-12,RPV,100,VcH_n,8.0312541269085,+N,RPV_pop,pop
q_nc,0.0011,z_nc,1e-12,RPV,100,VcH_p,7.248611196343215,+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-12,RPV,100,VcH_np,9.478899558578618,+N+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-11,RPV,100,R_n_low,4.207574545256032e-8,low,R_n,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,R_p_low,7.757057236288842e-9,low,R_p,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,Q_n_low,0.0011129893542784972,low,Q_n,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,Q_p_low,1.7047526312576123e-4,low,Q_p,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,H_low,0.4421237088618639,low,H,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,V_b_low,0,low,PAV_conc,con
q_nc,0.0011,z_nc,1e-11,RPV,100,V_c_low,7.4587040606636865,low,RPV_conc,con
q_nc,0.0011,z_nc,1e-11,RPV,100,R_n_n,9.625184721748115e-7,+N,R_n,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,R_p_n,3.420894070497403e-9,+N,R_p,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,Q_n_n,0.005308510970708971,+N,Q_n,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,Q_p_n,7.519575657525087e-5,+N,Q_p,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,H_n,1.0023864642126157,+N,H,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,V_b_n,0,+N,PAV_conc,con
q_nc,0.0011,z_nc,1e-11,RPV,100,V_c_n,8.030219000773602,+N,RPV_conc,con
q_nc,0.0011,z_nc,1e-11,RPV,100,R_n_p,4.207574545256032e-8,+P,R_n,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,R_p_p,4.027829474417829e-7,+P,R_p,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,Q_n_p,0.0011129893542784972,+P,Q_n,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,Q_p_p,0.001962880132344187,+P,Q_p,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,H_p,0.4421237088618639,+P,H,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,V_b_p,0,+P,PAV_conc,con
q_nc,0.0011,z_nc,1e-11,RPV,100,V_c_p,7.4587040606636865,+P,RPV_conc,con
q_nc,0.0011,z_nc,1e-11,RPV,100,R_n_np,4.922851654153534e-7,+N+P,R_n,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,R_p_np,9.07846124671115e-8,+N+P,R_p,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,Q_n_np,0.001139286115087986,+N+P,Q_n,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,Q_p_np,4.4715434840932045e-4,+N+P,Q_p,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,H_np,1.9414470815234444,+N+P,H,NA
q_nc,0.0011,z_nc,1e-11,RPV,100,V_b_np,0,+N+P,PAV_conc,con
q_nc,0.0011,z_nc,1e-11,RPV,100,V_c_np,8.496740355959997,+N+P,RPV_conc,con
q_nc,0.0011,z_nc,1e-11,RPV,100,VbH_low,0,low,PAV_pop,pop
q_nc,0.0011,z_nc,1e-11,RPV,100,VbH_n,0,+N,PAV_pop,pop
q_nc,0.0011,z_nc,1e-11,RPV,100,VbH_p,0,+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-11,RPV,100,VbH_np,0,+N+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-11,RPV,100,VcH_low,7.104247884271847,low,RPV_pop,pop
q_nc,0.0011,z_nc,1e-11,RPV,100,VcH_n,8.031254194267351,+N,RPV_pop,pop
q_nc,0.0011,z_nc,1e-11,RPV,100,VcH_p,7.104247884271847,+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-11,RPV,100,VcH_np,8.784865912666275,+N+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-10,RPV,100,R_n_low,6.484070528776135e-8,low,R_n,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,R_p_low,1.1950074322246076e-8,low,R_p,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,Q_n_low,0.0011091590744585337,low,Q_n,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,Q_p_low,2.62577521345497e-4,low,Q_p,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,H_low,0.287027888225729,low,H,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,V_b_low,0,low,PAV_conc,con
q_nc,0.0011,z_nc,1e-10,RPV,100,V_c_low,7.153821770661086,low,RPV_conc,con
q_nc,0.0011,z_nc,1e-10,RPV,100,R_n_n,1.078332533788196e-6,+N,R_n,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,R_p_n,3.823731630560612e-9,+N,R_p,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,Q_n_n,0.001133372428278619,+N,Q_n,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,Q_p_n,8.404481189342929e-5,+N,Q_p,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,H_n,0.8968372137567202,+N,H,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,V_b_n,0,+N,PAV_conc,con
q_nc,0.0011,z_nc,1e-10,RPV,100,V_c_n,7.951696258809508,+N,RPV_conc,con
q_nc,0.0011,z_nc,1e-10,RPV,100,R_n_p,6.484070528776135e-8,+P,R_n,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,R_p_p,6.249510713046755e-7,+P,R_p,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,Q_n_p,0.0011091590744585337,+P,Q_n,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,Q_p_p,0.003022790513011759,+P,Q_p,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,H_p,0.287027888225729,+P,H,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,V_b_p,0,+P,PAV_conc,con
q_nc,0.0011,z_nc,1e-10,RPV,100,V_c_p,7.153821770661086,+P,RPV_conc,con
q_nc,0.0011,z_nc,1e-10,RPV,100,R_n_np,1.0783262009328468e-6,+N+P,R_n,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,R_p_np,1.9722850606566952e-7,+N+P,R_p,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,Q_n_np,0.0011333719242818778,+N+P,Q_n,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,Q_p_np,9.678700710298627e-4,+N+P,Q_p,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,H_np,0.896842337016565,+N+P,H,NA
q_nc,0.0011,z_nc,1e-10,RPV,100,V_b_np,0,+N+P,PAV_conc,con
q_nc,0.0011,z_nc,1e-10,RPV,100,V_c_np,7.951700399411912,+N+P,RPV_conc,con
q_nc,0.0011,z_nc,1e-10,RPV,100,VbH_low,0,low,PAV_pop,pop
q_nc,0.0011,z_nc,1e-10,RPV,100,VbH_n,0,+N,PAV_pop,pop
q_nc,0.0011,z_nc,1e-10,RPV,100,VbH_p,0,+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-10,RPV,100,VbH_np,0,+N+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-10,RPV,100,VcH_low,6.611745942101629,low,RPV_pop,pop
q_nc,0.0011,z_nc,1e-10,RPV,100,VcH_n,7.904409880134379,+N,RPV_pop,pop
q_nc,0.0011,z_nc,1e-10,RPV,100,VcH_p,6.611745942101629,+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-10,RPV,100,VcH_np,7.904416501674302,+N+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-9,RPV,100,R_n_low,1.286001608969039e-7,low,R_n,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,R_p_low,2.3679276829012465e-8,low,R_p,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,Q_n_low,0.0011070837615980722,low,Q_n,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,Q_p_low,5.200318717119916e-4,low,Q_p,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,H_low,0.14490657482190378,low,H,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,V_b_low,0,low,PAV_conc,con
q_nc,0.0011,z_nc,1e-9,RPV,100,V_c_low,6.6714636479583795,low,RPV_conc,con
q_nc,0.0011,z_nc,1e-9,RPV,100,R_n_n,2.558517560963774e-6,+N,R_n,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,R_p_n,8.813481869931554e-9,+N,R_p,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,Q_n_n,0.0011310856959686226,+N,Q_n,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,Q_p_n,1.9365864941321516e-4,+N,Q_p,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,H_n,0.3891904431115233,+N,H,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,V_b_n,0,+N,PAV_conc,con
q_nc,0.0011,z_nc,1e-9,RPV,100,V_c_n,7.362550960625579,+N,RPV_conc,con
q_nc,0.0011,z_nc,1e-9,RPV,100,R_n_p,1.286001608969039e-7,+P,R_n,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,R_p_p,1.263684349215656e-6,+P,R_p,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,Q_n_p,0.0011070837615980722,+P,Q_n,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,Q_p_p,0.005983339847866629,+P,Q_p,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,H_p,0.14490657482190378,+P,H,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,V_b_p,0,+P,PAV_conc,con
q_nc,0.0011,z_nc,1e-9,RPV,100,V_c_p,6.6714636479583795,+P,RPV_conc,con
q_nc,0.0011,z_nc,1e-9,RPV,100,R_n_np,2.5585200493908997e-6,+N+P,R_n,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,R_p_np,4.5846164683631044e-7,+N+P,R_p,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,Q_n_np,0.0011310857752088001,+N+P,Q_n,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,Q_p_np,0.002229714438632189,+N+P,Q_p,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,H_np,0.38919008359579693,+N+P,H,NA
q_nc,0.0011,z_nc,1e-9,RPV,100,V_b_np,0,+N+P,PAV_conc,con
q_nc,0.0011,z_nc,1e-9,RPV,100,V_c_np,7.362550267953744,+N+P,RPV_conc,con
q_nc,0.0011,z_nc,1e-9,RPV,100,VbH_low,0,low,PAV_pop,pop
q_nc,0.0011,z_nc,1e-9,RPV,100,VbH_n,0,+N,PAV_pop,pop
q_nc,0.0011,z_nc,1e-9,RPV,100,VbH_p,0,+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-9,RPV,100,VbH_np,0,+N+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-9,RPV,100,VcH_low,5.832552285114776,low,RPV_pop,pop
q_nc,0.0011,z_nc,1e-9,RPV,100,VcH_n,6.952713157476482,+N,RPV_pop,pop
q_nc,0.0011,z_nc,1e-9,RPV,100,VcH_p,5.832552285114776,+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-9,RPV,100,VcH_np,6.952712063623849,+N+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-8,RPV,100,R_n_low,2.6985457318870816e-7,low,R_n,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,R_p_low,4.9588246549079836e-8,low,R_p,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,Q_n_low,0.0011053627053974275,low,Q_n,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,Q_p_low,0.0010878121651901437,low,Q_p,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,H_low,0.06925079342681843,low,H,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,V_b_low,0,low,PAV_conc,con
q_nc,0.0011,z_nc,1e-8,RPV,100,V_c_low,6.150385997855571,low,RPV_conc,con
q_nc,0.0011,z_nc,1e-8,RPV,100,R_n_n,6.465554359698021e-6,+N,R_n,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,R_p_n,2.0711135984732806e-8,+N,R_p,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,Q_n_n,0.0011296937394857675,+N,Q_n,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,Q_p_n,4.547492084860656e-4,+N,Q_p,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,H_n,0.1657150567159614,+N,H,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,V_b_n,0,+N,PAV_conc,con
q_nc,0.0011,z_nc,1e-8,RPV,100,V_c_n,6.759999681743203,+N,RPV_conc,con
q_nc,0.0011,z_nc,1e-8,RPV,100,R_n_p,2.6985457318870816e-7,+P,R_n,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,R_p_p,2.7715727278523893e-6,+P,R_p,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,Q_n_p,0.0011053627053974275,+P,Q_n,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,Q_p_p,0.012499744203482347,+P,Q_p,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,H_p,0.06925079342681843,+P,H,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,V_b_p,0,+P,PAV_conc,con
q_nc,0.0011,z_nc,1e-8,RPV,100,V_c_p,6.150385997855571,+P,RPV_conc,con
q_nc,0.0011,z_nc,1e-8,RPV,100,R_n_np,6.465554359698021e-6,+N+P,R_n,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,R_p_np,1.0996212789494787e-6,+N+P,R_p,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,Q_n_np,0.0011296937394857675,+N+P,Q_n,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,Q_p_np,0.00523303104338474,+N+P,Q_p,NA
q_nc,0.0011,z_nc,1e-8,RPV,100,H_np,0.1657150567159614,+N+P,H,NA
