time,variable,value,nutrient,variable2,lim_nut_H
0.3333333333333333,V_b_np,0,+N+P,PAV_conc,Q[N]
0.3333333333333333,V_c_np,0,+N+P,RPV_conc,Q[N]
0.3333333333333333,VbH_low,0,low,PAV_pop,Q[N]
0.3333333333333333,VbH_n,0,+N,PAV_pop,Q[N]
0.3333333333333333,VbH_p,0,+P,PAV_pop,Q[N]
0.3333333333333333,VbH_np,0,+N+P,PAV_pop,Q[N]
0.3333333333333333,VcH_low,0,low,RPV_pop,Q[N]
0.3333333333333333,VcH_n,0,+N,RPV_pop,Q[N]
0.3333333333333333,VcH_p,0,+P,RPV_pop,Q[N]
0.3333333333333333,VcH_np,0,+N+P,RPV_pop,Q[N]
0.3333333333333333,LimQ_low,0.19320810314597547,low,Qlim,Q[N]
0.3333333333333333,LimQ_n,0.1931897132755044,+N,Qlim,Q[N]
0.3333333333333333,LimQ_p,0.19320810314597547,+P,Qlim,Q[N]
0.3333333333333333,LimQ_np,0.1931897132755044,+N+P,Qlim,Q[N]
0.4444444444444444,R_n_low,5.482962431939569e-4,low,R_n,Q[N]
0.4444444444444444,R_p_low,7.741681137347956e-5,low,R_p,Q[N]
0.4444444444444444,Q_n_low,0.0057512925063243625,low,Q_n,Q[N]
0.4444444444444444,Q_p_low,7.658689023648938e-4,low,Q_p,Q[N]
0.4444444444444444,H_low,0.010599284491489152,low,H,Q[N]
0.4444444444444444,V_b_low,0,low,PAV_conc,Q[N]
0.4444444444444444,V_c_low,0,low,RPV_conc,Q[N]
0.4444444444444444,R_n_n,5.726746625365066e-4,+N,R_n,Q[N]
0.4444444444444444,R_p_n,7.741681032715053e-5,+N,R_p,Q[N]
0.4444444444444444,Q_n_n,0.005752232906804223,+N,Q_n,Q[N]
0.4444444444444444,Q_p_n,7.658683732481224e-4,+N,Q_p,Q[N]
0.4444444444444444,H_n,0.010599293081574696,+N,H,Q[N]
0.4444444444444444,V_b_n,0,+N,PAV_conc,Q[N]
0.4444444444444444,V_c_n,0,+N,RPV_conc,Q[N]
0.4444444444444444,R_n_p,5.482962431939569e-4,+P,R_n,Q[N]
0.4444444444444444,R_p_p,8.096166736904467e-5,+P,R_p,Q[N]
0.4444444444444444,Q_n_p,0.0057512925063243625,+P,Q_n,Q[N]
0.4444444444444444,Q_p_p,7.683593972300174e-4,+P,Q_p,Q[N]
0.4444444444444444,H_p,0.010599284491489152,+P,H,Q[N]
0.4444444444444444,V_b_p,0,+P,PAV_conc,Q[N]
0.4444444444444444,V_c_p,0,+P,RPV_conc,Q[N]
0.4444444444444444,R_n_np,5.726746625365066e-4,+N+P,R_n,Q[N]
0.4444444444444444,R_p_np,8.096166631222543e-5,+N+P,R_p,Q[N]
0.4444444444444444,Q_n_np,0.005752232906804223,+N+P,Q_n,Q[N]
0.4444444444444444,Q_p_np,7.683588669851044e-4,+N+P,Q_p,Q[N]
0.4444444444444444,H_np,0.010599293081574696,+N+P,H,Q[N]
0.4444444444444444,V_b_np,0,+N+P,PAV_conc,Q[N]
0.4444444444444444,V_c_np,0,+N+P,RPV_conc,Q[N]
0.4444444444444444,VbH_low,0,low,PAV_pop,Q[N]
0.4444444444444444,VbH_n,0,+N,PAV_pop,Q[N]
0.4444444444444444,VbH_p,0,+P,PAV_pop,Q[N]
0.4444444444444444,VbH_np,0,+N+P,PAV_pop,Q[N]
0.4444444444444444,VcH_low,0,low,RPV_pop,Q[N]
0.4444444444444444,VcH_n,0,+N,RPV_pop,Q[N]
0.4444444444444444,VcH_p,0,+P,RPV_pop,Q[N]
0.4444444444444444,VcH_np,0,+N+P,RPV_pop,Q[N]
0.4444444444444444,LimQ_low,0.1912613553893136,low,Qlim,Q[N]
0.4444444444444444,LimQ_n,0.19123008713691475,+N,Qlim,Q[N]
0.4444444444444444,LimQ_p,0.1912613553893136,+P,Qlim,Q[N]
0.4444444444444444,LimQ_np,0.19123008713691475,+N+P,Qlim,Q[N]
0.5555555555555556,R_n_low,5.452609835257501e-4,low,R_n,Q[N]
0.5555555555555556,R_p_low,7.6240114513378e-5,low,R_p,Q[N]
0.5555555555555556,Q_n_low,0.005806280609884737,low,Q_n,Q[N]
0.5555555555555556,Q_p_low,8.57445779720092e-4,low,Q_p,Q[N]
0.5555555555555556,H_low,0.010755627531037914,low,H,Q[N]
0.5555555555555556,V_b_low,0,low,PAV_conc,Q[N]
0.5555555555555556,V_c_low,0,low,RPV_conc,Q[N]
