param_foc1,param_val1,param_foc2,param_val2,param_foc3,param_val3,param_foc4,param_val4,variable2,nutrient,first,last,growth
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.4e-5,q_pc,1e-6,RPV_conc,+N,500000,508523.81075935124,0.5578300680345851
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.4e-5,q_pc,1e-6,RPV_conc,+P,500000,508900.56261736195,0.5822698440178528
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.4e-5,q_pc,1e-6,RPV_conc,+N+P,500000,508523.81075935124,0.5578300680345851
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.4e-5,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.4e-5,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.4e-5,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.4e-5,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1.5898614406770442e-4,q_pc,1e-6,RPV_conc,low,500000,508045.072777973,0.5267483483218461
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1.5898614406770442e-4,q_pc,1e-6,RPV_conc,+N,500000,508101.7032084409,0.530426565389574
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1.5898614406770442e-4,q_pc,1e-6,RPV_conc,+P,500000,508045.072777973,0.5267483483218461
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1.5898614406770442e-4,q_pc,1e-6,RPV_conc,+N+P,500000,508101.7032084409,0.530426565389574
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1.5898614406770442e-4,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1.5898614406770442e-4,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1.5898614406770442e-4,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1.5898614406770442e-4,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.403183870910764e-4,q_pc,1e-6,RPV_conc,low,500000,507227.6746963415,0.47361160730509194
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.403183870910764e-4,q_pc,1e-6,RPV_conc,+N,500000,507698.033049085,0.5041987264081471
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.403183870910764e-4,q_pc,1e-6,RPV_conc,+P,500000,507227.6746963415,0.47361160730509194
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.403183870910764e-4,q_pc,1e-6,RPV_conc,+N+P,500000,507698.033049085,0.5041987264081471
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.403183870910764e-4,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
