well,sample,target,task,reporter,quencher,cycle,cycle_mean,cycle_sd,quantity,quantity_mean,quantity_sd,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,comments,high_sd,no_amp,outlier_rg,exp_fail,q_group
B5,RPV 1e4,RPV,STANDARD,VIC,NFQ-MGB,34.0936203,34.10868073,0.032844439,10000,NA,NA,TRUE,0.032394665,TRUE,3,32,NA,N,Y,N,Y,1
B6,RPV 1e4,PAV,UNKNOWN,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
B6,RPV 1e4,RPV,STANDARD,VIC,NFQ-MGB,34.0860672,34.10868073,0.032844439,10000,NA,NA,TRUE,0.032394665,TRUE,3,32,NA,N,Y,N,Y,1
B7,PAV 1e4,PAV,TEST,FAM,NFQ-MGB,32.44965744,32.35663223,0.08104565,23984.36328,25588.29102,1398.179077,TRUE,0.035657635,TRUE,3,30,NA,N,Y,N,Y,1
B7,PAV 1e4,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
B8,PAV 1e4,PAV,TEST,FAM,NFQ-MGB,32.3012886,32.35663223,0.08104565,26549.8418,25588.29102,1398.179077,TRUE,0.035657635,TRUE,3,30,NA,N,Y,N,Y,1
B8,PAV 1e4,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
B9,PAV 1e4,PAV,TEST,FAM,NFQ-MGB,32.31894684,32.35663223,0.08104565,26230.66602,25588.29102,1398.179077,TRUE,0.035657635,TRUE,3,30,NA,N,Y,N,Y,1
B9,PAV 1e4,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
B10,RPV 1e4,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
B10,RPV 1e4,RPV,TEST,VIC,NFQ-MGB,34.27709198,34.19784927,0.068968207,8575.514648,9035.676758,400.6423035,TRUE,0.032394665,TRUE,3,32,NA,N,Y,N,Y,1
B11,RPV 1e4,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
B11,RPV 1e4,RPV,TEST,VIC,NFQ-MGB,34.16506195,34.19784927,0.068968207,9224.500977,9035.676758,400.6423035,TRUE,0.032394665,TRUE,3,32,NA,N,Y,N,Y,1
B12,RPV 1e4,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
B12,RPV 1e4,RPV,TEST,VIC,NFQ-MGB,34.15138626,34.19784927,0.068968207,9307.015625,9035.676758,400.6423035,TRUE,0.032394665,TRUE,3,32,NA,N,Y,N,Y,1
C1,PAV 1e5,PAV,STANDARD,FAM,NFQ-MGB,30.74181557,30.74188423,0.043017432,100000,NA,NA,TRUE,0.035657635,TRUE,3,28,NA,N,Y,N,Y,1
C1,PAV 1e5,RPV,UNKNOWN,VIC,NFQ-MGB,Undetermined,40.35105896,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
C2,PAV 1e5,PAV,STANDARD,FAM,NFQ-MGB,30.78493881,30.74188423,0.043017432,100000,NA,NA,TRUE,0.035657635,TRUE,3,28,NA,N,N,N,N,1
C2,PAV 1e5,RPV,UNKNOWN,VIC,NFQ-MGB,40.35105896,40.35105896,NA,164.2514954,164.2514954,NA,TRUE,0.032394665,TRUE,3,38,NA,N,N,N,N,1
C3,PAV 1e5,PAV,STANDARD,FAM,NFQ-MGB,30.69890404,30.74188423,0.043017432,100000,NA,NA,TRUE,0.035657635,TRUE,3,28,NA,N,Y,N,Y,1
C3,PAV 1e5,RPV,UNKNOWN,VIC,NFQ-MGB,Undetermined,40.35105896,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
C4,RPV 1e5,PAV,UNKNOWN,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
C4,RPV 1e5,RPV,STANDARD,VIC,NFQ-MGB,31.16163445,30.95609283,0.179385513,100000,NA,NA,TRUE,0.032394665,TRUE,3,29,NA,N,Y,N,Y,1
C5,RPV 1e5,PAV,UNKNOWN,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
C5,RPV 1e5,RPV,STANDARD,VIC,NFQ-MGB,30.83110046,30.95609283,0.179385513,100000,NA,NA,TRUE,0.032394665,TRUE,3,28,NA,N,Y,N,Y,1
C6,RPV 1e5,PAV,UNKNOWN,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
C6,RPV 1e5,RPV,STANDARD,VIC,NFQ-MGB,30.8755455,30.95609283,0.179385513,100000,NA,NA,TRUE,0.032394665,TRUE,3,28,NA,N,Y,N,Y,1
C7,PAV 1e5,PAV,TEST,FAM,NFQ-MGB,29.14759827,29.16205788,0.131569237,230227.7656,228573.25,20425.89648,TRUE,0.035657635,TRUE,3,26,NA,N,Y,N,Y,1
C7,PAV 1e5,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
